                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0747,                0.84108,                 1.1591,                 0.7758,                0.68035,                0.71023,                0.42986,                 1.5191,                 1.4185,                 1.4936,             0.00016148,             0.00016148,             0.00016148
                     72,                 1.0592,                0.85231,                 1.1545,                0.79005,                0.66814,                0.70261,                0.43229,                 1.5247,                 1.4133,                 1.4764,             0.00015627,             0.00015627,             0.00015627
                     73,                  1.039,                0.82817,                 1.1337,                0.80866,                0.64217,                0.71359,                0.43531,                 1.5246,                 1.4144,                 1.4651,             0.00015107,             0.00015107,             0.00015107
                     74,                 1.0614,                0.83009,                 1.1604,                0.79474,                0.65099,                0.71533,                0.43876,                 1.5483,                 1.4033,                 1.4896,             0.00014586,             0.00014586,             0.00014586
                     75,                 1.0361,                0.82492,                  1.138,                0.77939,                0.63583,                 0.6954,                0.44614,                 1.5417,                 1.4115,                 1.4967,             0.00014065,             0.00014065,             0.00014065
                     76,                 1.0214,                0.83083,                 1.1305,                0.71812,                0.66733,                0.71141,                  0.436,                 1.5498,                 1.4046,                 1.4927,             0.00013544,             0.00013544,             0.00013544
                     77,                 1.0296,                0.80008,                 1.1227,                0.69464,                0.63719,                  0.698,                0.42932,                  1.562,                 1.4427,                  1.513,             0.00013024,             0.00013024,             0.00013024
                     78,                 1.0348,                0.81883,                  1.138,                0.70354,                0.66937,                0.69699,                  0.427,                 1.5538,                 1.4033,                 1.5108,             0.00012503,             0.00012503,             0.00012503
                     79,                 1.0051,                0.78972,                 1.1338,                0.79576,                 0.6566,                0.69746,                0.44043,                 1.5392,                 1.3762,                 1.5074,             0.00011982,             0.00011982,             0.00011982
                     80,                 1.0055,                 0.7872,                 1.1223,                0.69327,                0.69054,                0.71478,                 0.4495,                 1.5462,                 1.3531,                 1.4889,             0.00011462,             0.00011462,             0.00011462
                     81,                 1.0112,                0.79591,                 1.1252,                0.71929,                0.66823,                0.70285,                0.44222,                 1.5338,                 1.3642,                 1.4779,             0.00010941,             0.00010941,             0.00010941
                     82,                 1.0033,                0.79602,                 1.1255,                0.71142,                0.67394,                0.69921,                0.43516,                 1.5591,                 1.3716,                 1.4999,              0.0001042,              0.0001042,              0.0001042
                     83,                 1.0012,                0.77562,                 1.1292,                0.70958,                0.66862,                0.70582,                0.43938,                 1.5728,                 1.3813,                  1.514,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     84,                 1.0194,                0.77796,                  1.127,                 0.8054,                0.65796,                0.70841,                0.43902,                 1.5642,                 1.4013,                 1.5076,             9.3786e-05,             9.3786e-05,             9.3786e-05
                     85,                 1.0044,                0.76901,                 1.1235,                0.70519,                 0.6784,                  0.698,                0.43255,                 1.5737,                  1.428,                 1.5158,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     86,                0.99543,                0.78174,                  1.116,                 0.7961,                0.67374,                0.69681,                0.42893,                 1.5739,                 1.4228,                   1.52,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     87,                0.98261,                0.77518,                 1.1211,                0.71169,                0.68898,                0.69764,                0.43189,                 1.5654,                 1.4123,                 1.5037,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     88,                0.99755,                  0.779,                 1.1138,                0.68985,                0.71131,                0.70911,                0.43173,                  1.554,                 1.3812,                 1.5077,             7.2956e-05,             7.2956e-05,             7.2956e-05
                     89,                0.98769,                  0.752,                   1.11,                0.72951,                0.68871,                0.71693,                0.43436,                 1.5745,                 1.3925,                   1.53,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     90,                0.98809,                0.75995,                 1.1166,                0.79347,                0.66515,                0.71265,                0.43512,                 1.5613,                 1.3907,                 1.5149,             6.2541e-05,             6.2541e-05,             6.2541e-05
                     91,                0.91797,                0.84515,                 1.0563,                0.72462,                 0.6705,                 0.7107,                0.43844,                 1.5719,                 1.4186,                 1.5074,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     92,                0.90239,                0.75312,                 1.0568,                0.72253,                 0.6536,                0.68373,                0.42396,                 1.5547,                 1.4652,                 1.5031,             5.2127e-05,             5.2127e-05,             5.2127e-05
                     93,                0.86633,                0.71518,                 1.0274,                 0.7368,                0.67371,                0.70684,                0.43423,                 1.5499,                 1.3552,                  1.509,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     94,                0.83365,                0.66379,                 1.0407,                0.80842,                0.67505,                0.70459,                0.42464,                 1.5586,                 1.3788,                 1.5174,             4.1712e-05,             4.1712e-05,             4.1712e-05
                     95,                0.85264,                0.67618,                 1.0368,                0.78917,                0.65668,                0.69959,                0.42651,                 1.5684,                 1.3901,                 1.5303,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     96,                0.82853,                 0.6669,                 1.0319,                0.87371,                0.60247,                0.71126,                0.43541,                 1.5666,                 1.3815,                 1.5235,             3.1297e-05,             3.1297e-05,             3.1297e-05
                     97,                0.83423,                0.65849,                 1.0317,                 0.8194,                0.64927,                0.71294,                0.43855,                 1.5694,                 1.3887,                 1.5215,              2.609e-05,              2.609e-05,              2.609e-05
                     98,                0.83153,                0.63679,                  1.027,                0.80385,                0.66194,                0.71614,                0.44086,                 1.5628,                 1.3728,                 1.5165,             2.0882e-05,             2.0882e-05,             2.0882e-05
                     99,                0.83185,                0.64115,                 1.0153,                0.81929,                0.65201,                0.71806,                 0.4413,                 1.5534,                 1.3634,                 1.5134,             1.5675e-05,             1.5675e-05,             1.5675e-05
                    100,                0.81601,                0.64149,                  1.018,                0.82113,                0.65434,                0.71804,                0.43977,                 1.5533,                  1.365,                 1.5113,             1.0467e-05,             1.0467e-05,             1.0467e-05
